Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,Twentyten,Twentyeleven,Twentytwelve,Twentythirteen,Twentyfourteen,Twentyfifteen,Twentysixteen,Twentyseventeen,Twentyeighteen,Twentynineteen
"Congo, Rep.",1458.06,1542.16,1582.75,1481.02,1498.32,1513.02,1493.01,1483.66,1553.3,1624.22,1678.85,1757.34,1853.65,1947.91,2040.36,2134.31,2091.66,1849.62,1910.81,2038.13,2328.72,2660.19,3193.31,3283.45,3413.04,3278.47,2969.61,2894.44,2866.17,2861.57,2812.22,2801.64,2796.71,2693.67,2475.62,2502.79,2536.83,2449.35,2468.27,2335.86,2441.33,2462.88,2503.78,2452.63,2463.04,2571.79,2642.89,2513.18,2563.69,2666.18,2812.44,2828.48,2860.87,2887.25,3008.67,3012.54,2854.76,2732.2,2705.16,2612.98
Colombia,2339.44,2382.81,2434.6,2438.02,2510.72,2524.7,2580.5,2611.64,2691.14,2780.55,2879.25,2978.23,3133.66,3270.53,3382.95,3385.72,3467.63,3531.97,3746.39,3860.99,3931.03,3933.38,3885.17,3862.16,3907.6,3945.61,4090.56,4224.11,4309.16,4369.1,4467.39,4468.3,4559.33,4713.3,4894.24,5055.21,5068,5151.89,5094.74,4801.07,4862.88,4867.58,4913.86,5031.49,5225.24,5404.12,5693.26,6002.33,6126.93,6128.2,6336.71,6711.62,6911.59,7200.73,7449.09,7580.28,7633.97,7622.28,7696.34,7842.92
Comoros,,,,,,,,,,,,,,,,,,,,,1403.28,1412.65,1459.89,1488.62,1507.77,1499.31,1483.79,1464.47,1459.99,1372.28,1400.24,1286.31,1355.82,1356.71,1248.97,1258.35,1208.46,1223.79,1207.18,1199.09,1296.06,1294.01,1292.49,1288.61,1282.53,1287.87,1290.73,1270.24,1289.68,1299.27,1316.5,1337.74,1347.55,1374.7,1370.51,1353.66,1366.68,1386.92,1402.74,1409.39
Cabo Verde,,,,,,,,,,,,,,,,,,,,,680.49,725.66,732.02,785.75,799.75,853.41,864.22,888.78,928.74,965.56,952.76,943.04,1018.16,1075.7,1246.78,1387.56,1508.87,1640.44,1808.84,1973.86,2215.07,2225.41,2303.97,2362.96,2565.78,2705.13,2882.89,3279.08,3455.1,3370.35,3378.25,3468.67,3461.93,3445.31,3422.75,3414.56,3532.14,3619.62,3740,3907.65
Costa Rica,2911.06,2857.54,2903.43,2992.62,2994.57,3132.25,3244.14,3323.11,3499.57,3588.68,3754.57,3906.14,4121.06,4331.05,4459.9,4440.61,4566.8,4845.06,5013.86,5122.37,5023.74,4778.92,4311.76,4316.05,4537.77,4449.45,4572.92,4666.89,4703.04,4841.83,4884.6,4866.33,5177.35,5403.27,5504.48,5591.19,5525.1,5696.77,5957.3,6062.26,6172.41,6274.32,6375.2,6545.74,6730.83,6892.92,7289.9,7779.32,8034.33,7854.95,8141.91,8390.48,8689.97,8785.74,8993.53,9219.39,9509.74,9775.85,9936.58,10046.95
Caribbean small states,,,,,,,4552.39,4686.54,4905.65,5112.26,5287.43,5335.43,5683.32,5572.15,5320.17,5187.22,5186.31,5331.84,5583.42,5807.68,5878.08,5866.74,5870.5,5663.89,5654.9,5597.07,5627.58,5696.73,5792.25,6003.92,6020.13,6050.55,6122.81,6244.06,6353.35,6479.41,6644.65,6796.4,6951.26,7185.46,7408.02,7503.99,7722.99,8110.08,8374.35,8625.09,9150.32,9384.84,9442.3,9032.81,9086.89,9118.64,9165.29,9168.58,9150.6,9192.77,8987.19,8921.68,8985.9,9012.6
Cuba,,,,,,,,,,,2249.75,2400.02,2472.02,2514.17,2500.21,2700.78,2815.26,3031.28,3205.34,3218.11,3043.83,3624.92,3931.74,4127.49,4432.43,4473.65,4440.1,4290.16,4401.69,4386.71,4220,3741.74,3289.06,2785.97,2793.22,2848.77,3057.74,3128.43,3119.51,3298.83,3480.83,3579.4,3619.06,3746.44,3955.17,4393.83,4924.13,5286.48,5511.05,5596.14,5730.35,5885.25,6051.69,6203.84,6255.43,6522.74,6550.27,6666.33,6816.9,
Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88280.88,88390.16,85528.68,77238.24,73350.78,72662.03,72208.19,71943.45,72741.43,73740.67,74997.18,76285.38,77811.86,
Cyprus,,,,,,,,,,,,,,,,7360,8923.62,10382.45,11148.51,12157.93,12718.49,12823.9,13436.18,14069.7,15104.92,15651,16045.62,16993.48,18268.12,19440.85,20440.1,20065.08,21374.89,21010.96,21795.13,23193.42,23111.68,23388.16,24514.95,25453.77,26686.79,27444.19,28141.57,28530.93,29566.83,30558.43,31469.46,32377.07,32725.63,31216.76,31023.64,30363.51,28873.63,27044.31,26834.01,27897.96,29643.84,30650.24,31506.92,32093.03
